x,y,orientation,condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,cue_dur,stimulation_dur,post_fixation,opacity,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,.response,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,finalOpacity,postLoc,postOri,ID,frameRate,
77,77,45,allcue,0,2,2,2,,,,,,,,,,,session,638.1953706000932,150.0,6.0,2.0,72.0,0.02438922240000001,7,0.9599266999866813,1.2267758001107723,,5,0.7807040000334382,0.9633535998873413,6,0.2897940000984818,0.421626599971205,,57.0,63.0,1905_1145,60.0,
-77,-77,90,locationcue,0,3,3,47,,,,,,,,,,,session,647.2597149000503,132.0,6.0,2.0,72.0,0.02438922240000001,6,1.3311095000244677,1.5146221001632512,,3,1.5783797998446971,1.74486259999685,6,0.36594379995949566,0.5160342999733984,,72.0,54.0,1905_1145,60.0,
-77,-77,45,centralcue,0,4,4,30,,,,,,,,,,,session,657.2923250000458,120.0,6.0,2.0,72.0,0.02438922240000001,7,1.0920434000436217,1.3263309998437762,,3,1.2511164001189172,1.436446800129488,6,0.28048860002309084,0.4242202998138964,,69.0,63.0,1905_1145,60.0,
-77,77,0,locationcue,0,5,5,37,,,,,,,,,,,session,666.6190869000275,144.0,6.0,2.0,72.0,0.02438922240000001,0,1.6173982000909746,1.8157047999557108,,2,1.0116597001906484,1.179060700116679,7,0.5345801000948995,0.684705900028348,,51.0,57.0,1905_1145,60.0,
-77,-77,0,locationcue,0,6,6,45,,,,,,,,,,,session,677.0072161001153,150.0,6.0,2.0,72.0,0.02438922240000001,0,1.3555170998442918,1.5879079999867827,,3,1.3130817001219839,1.5126052000559866,7,0.3040233999490738,0.42256910004653037,,72.0,69.0,1905_1145,60.0,
-77,-77,90,allcue,0,7,7,15,,,,,,,,,,,session,687.3168566999957,96.0,6.0,2.0,72.0,0.02438922240000001,6,0.9942783999722451,1.2119632000103593,,3,1.3919732000213116,1.678301600040868,7,0.33089419989846647,0.516956599894911,,63.0,60.0,1905_1145,60.0,
-77,77,45,centralcue,0,8,8,22,,,,,,,,,,,session,697.0766434001271,150.0,6.0,2.0,72.0,0.02438922240000001,7,0.914944700198248,1.0975889000110328,,2,1.1518026001285762,1.3010454000905156,6,0.9336679000407457,1.0830356001388282,,48.0,48.0,1905_1145,60.0,
77,-77,90,nocue,0,9,9,59,,,,,,,,,,,session,706.5944939001929,114.0,6.0,2.0,72.0,0.02438922240000001,7,1.0612326001282781,1.2247452000156045,,5,3.1026093000546098,3.3391827000305057,0,0.5423842000309378,0.7426362000405788,,51.0,66.0,1905_1145,60.0,
-77,-77,-45,centralcue,0,10,10,28,,,,,,,,,,,session,717.7241007999983,132.0,6.0,2.0,72.0,0.02438922240000001,1,1.31373649998568,1.4980226000770926,,3,1.140067300060764,1.3069738000631332,1,2.334555499954149,2.5190691999159753,,48.0,54.0,1905_1145,60.0,
-77,77,90,centralcue,0,11,11,23,,,,,,,,,,,session,728.8987533000764,150.0,6.0,2.0,72.0,0.02438922240000001,6,0.7599885000381619,0.8788232000079006,,2,1.2048647999763489,1.400918300030753,6,0.867346900049597,1.0340341001283377,,66.0,51.0,1905_1145,60.0,
77,-77,90,allcue,0,12,12,11,,,,,,,,,,,session,738.8560083999764,108.0,6.0,2.0,72.0,0.02438922240000001,6,0.5605638001579791,0.7098255001474172,,4,1.5134945001918823,1.8799172001890838,6,0.33667850005440414,0.5039463001303375,,72.0,63.0,1905_1145,60.0,
-77,77,45,locationcue,0,13,13,38,,,,,,,,,,,session,747.9441847000271,108.0,6.0,2.0,72.0,0.02438922240000001,7,0.8318187999539077,1.021877999883145,,2,0.9278218999970704,1.1279672000091523,1,0.685852900147438,0.8855246000457555,,57.0,69.0,1905_1145,60.0,
-77,-77,0,allcue,0,14,14,13,,,,,,,,,,,session,756.8268335000612,120.0,6.0,2.0,72.0,0.02438922240000001,0,1.3816552001517266,1.5817617001011968,,3,0.8630338998045772,1.0483262999914587,6,1.121882500126958,1.2888853000476956,,63.0,48.0,1905_1145,60.0,
77,-77,90,locationcue,0,15,15,43,,,,,,,,,,,session,766.6256163001526,114.0,6.0,2.0,72.0,0.02438922240000001,6,0.4826849999371916,0.629956099903211,,4,1.3652526000514627,1.5823828999418765,1,0.3536491000559181,0.5370757000055164,,51.0,63.0,1905_1145,60.0,
77,-77,90,locationcue,0,15,15,43,,,materials/instructions\12_break.png,775.1369692001026,779.7054570000619,0,4.416718499967828,4.566707400139421,0.013599999947473407,4.5743563999421895,,,,,,,,,,,,,,,,,,,,,1905_1145,60.0,
77,77,0,allcue,0,16,16,1,,,,,,,,,,,session,779.7213890000712,120.0,6.0,2.0,72.0,0.02438922240000001,0,1.1174263001885265,1.267445300007239,,5,1.1753736999817193,1.339940199861303,6,0.820274299941957,0.9876717999577522,,51.0,60.0,1905_1145,60.0,
77,77,90,locationcue,0,17,17,35,,,,,,,,,,,session,789.1434216999914,114.0,6.0,2.0,72.0,0.02438922240000001,6,1.9613600000739098,2.094782100059092,,5,1.2435833001509309,1.42877610004507,6,1.3290353999473155,1.4340548000764102,,63.0,57.0,1905_1145,60.0,
77,77,-45,allcue,0,18,18,0,,,,,,,,,,,session,799.976719400147,150.0,6.0,2.0,72.0,0.02438922240000001,1,0.6595912999473512,0.8268309999257326,,5,0.8464261000044644,1.014523700112477,6,0.33809250011108816,0.5370081001892686,,63.0,54.0,1905_1145,60.0,
77,-77,0,allcue,0,19,19,9,,,,,,,,,,,session,809.1074799001217,132.0,6.0,2.0,72.0,0.02438922240000001,0,1.3640211999882013,1.5508344999980181,,4,2.153233699966222,2.3671520000789315,6,0.8350108999293298,0.9860696999821812,,60.0,48.0,1905_1145,60.0,
